Wall time,Step,Value
1663606319.7526894,12800,8.966327667236328
1663606357.3575447,12900,10.13149642944336
1663606395.1737235,13000,8.838140487670898
1663606432.949309,13100,9.309961318969727
1663606470.8877215,13200,9.691883087158203
1663606510.316565,13300,9.389078140258789
1663606549.1905227,13400,9.485048294067383
1663606587.4741883,13500,9.396020889282227
1663606625.6734421,13600,9.40516185760498
1663606664.1494517,13700,9.952068328857422
1663606702.3943665,13800,9.34729290008545
1663606740.605907,13900,10.402121543884277
1663606778.9208574,14000,9.991650581359863
1663606817.3160875,14100,11.010566711425781
1663606855.718111,14200,10.495054244995117
1663606894.1274867,14300,9.285468101501465
1663606932.6055472,14400,9.819051742553711
1663606970.9284952,14500,9.002470016479492
1663607009.3304942,14600,9.850980758666992
1663607047.847915,14700,10.339061737060547
1663607086.8199494,14800,10.160449028015137
1663607125.4980896,14900,9.867545127868652
1663607164.1575766,15000,10.559391975402832
1663607203.0514367,15100,10.616739273071289
1663607241.7995813,15200,10.380672454833984
1663607280.6126077,15300,11.421592712402344
1663607319.7201695,15400,10.490379333496094
1663607358.8097537,15500,10.302221298217773
1663607397.9597144,15600,9.812348365783691
1663607437.0467782,15700,10.198870658874512
1663607476.1773322,15800,10.202838897705078
1663607515.316854,15900,11.105486869812012
1663607554.639144,16000,9.905064582824707
1663607594.1551232,16100,11.090818405151367
1663607633.4771523,16200,9.216547012329102
1663607672.8886113,16300,10.749246597290039
1663607712.3176312,16400,10.486077308654785
1663607751.8662934,16500,9.989335060119629
1663607791.3230574,16600,10.664509773254395
1663607830.8818831,16700,10.558886528015137
1663607870.450648,16800,11.221742630004883
1663607910.008628,16900,10.357935905456543
1663607949.8970234,17000,10.206067085266113
1663607989.75044,17100,9.932413101196289
1663608029.5025196,17200,10.704129219055176
1663608069.2508602,17300,10.585091590881348
1663608109.0770442,17400,10.853668212890625
1663608148.9828398,17500,10.426972389221191
1663608188.8188734,17600,10.466245651245117
1663608228.7539623,17700,10.441231727600098
1663608268.7997158,17800,9.605332374572754
1663608309.0656834,17900,10.961736679077148
1663608349.1813092,18000,10.820576667785645
1663608389.4351301,18100,10.50165843963623
1663608429.6643083,18200,9.758844375610352
1663608469.878352,18300,11.659013748168945
1663608510.1594381,18400,10.64563274383545
1663608550.732434,18500,9.879254341125488
1663608591.1073225,18600,10.09399127960205
1663608631.5355337,18700,11.727095603942871
1663608671.9340048,18800,10.146318435668945
1663608712.329236,18900,10.658817291259766
1663608752.7836323,19000,10.046283721923828
1663608793.1857536,19100,11.345887184143066
1663608833.6433747,19200,10.570674896240234
1663608874.2691667,19300,10.394262313842773
1663608914.9867105,19400,11.265838623046875
1663608955.6239922,19500,9.33370590209961
1663608996.2592964,19600,10.319489479064941
1663609036.9070182,19700,11.801313400268555
1663609077.5227141,19800,10.563678741455078
1663609118.1213002,19900,9.951532363891602
1663609158.95504,20000,10.479276657104492
1663609199.769723,20100,10.574736595153809
1663609240.4724486,20200,10.230457305908203
1663609281.242539,20300,10.53211784362793
1663609321.9645166,20400,10.520219802856445
1663609362.6847863,20500,10.013919830322266
1663609403.6298308,20600,10.68069839477539
1663609444.4429176,20700,11.306199073791504
1663609485.2740417,20800,10.687785148620605
1663609525.9714067,20900,10.76644229888916
1663609566.6029553,21000,11.029550552368164
1663609607.3560658,21100,10.205774307250977
1663609647.9816744,21200,10.406944274902344
1663609688.558847,21300,10.898263931274414
1663609729.122718,21400,10.29367733001709
1663609769.6685238,21500,10.820491790771484
1663609810.2612016,21600,9.931325912475586
1663609850.7658827,21700,9.872061729431152
1663609891.3076084,21800,10.884613037109375
1663609931.8553612,21900,10.829426765441895
1663609972.4438226,22000,11.010765075683594
1663610012.9855726,22100,10.77882194519043
1663610053.427417,22200,11.175915718078613
1663610094.099178,22300,11.368165969848633
1663610134.7391803,22400,11.220952033996582
1663610175.403247,22500,10.977188110351562
1663610216.0337527,22600,10.974038124084473
1663610256.6589031,22700,11.134699821472168
